"","MIC_003_HMP","MIC_005_HMP","MIC_006_HMP","MIC_007_HMP","MIC_009_HMP","MIC_010_HMP","MIC_011_HMP","MIC_012_HMP","MIC_013_HMP","MIC_014_HMP","MIC_015_HMP","MIC_016_HMP","MIC_017_HMP","MIC_019_HMP","MIC_020_HMP","MIC_021_HMP","MIC_022_HMP","MIC_023_HMP","MIC_024_HMP","MIC_025_HMP","MIC_026_HMP","MIC_027_HMP","MIC_028_HMP","MIC_029_HMP","MIC_030_HMP","MIC_031_HMP","MIC_032_HMP","MIC_033_HMP","MIC_034_HMP","MIC_036_HMP","MIC_037_HMP","MIC_039_HMP","MIC_040_HMP","MIC_042_HMP","MIC_043_HMP","MIC_044_HMP","MIC_045_HMP","MIC_047_HMP","MIC_049_HMP","MIC_050_HMP","MIC_052_HMP","MIC_053_HMP","MIC_054_HMP","MIC_055_HMP","MIC_056_HMP","MIC_057_HMP","MIC_058_HMP","MIC_059_HMP","MIC_062_HMP","MIC_063_HMP","MIC_064_HMP","MIC_065_HMP","MIC_066_HMP","MIC_067_HMP"
"Otu0023",0,0,150,0,5,1,0,26,1,437,0,9,0,1,1,0,1,0,5,1,3,0,1,1,21,14,0,2,0,19,1,147,295,24,0,0,0,1,43,39,129,14,56,1,0,0,0,0,5,0,6,1,16,1
"Otu0024",0,0,0,0,0,0,0,0,793,3,0,0,0,0,0,0,0,511,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0025",0,0,2,87,21,15,1,0,178,11,3,5,7,14,190,45,3,213,0,4,2,12,212,34,2,1,55,14,6,3,0,2,2,54,10,19,39,60,0,1,0,1,5,0,0,4,0,0,0,6,1,1,26,27
"Otu0026",1,1,6,20,78,17,1,0,162,7,1,17,4,15,53,7,1,233,1,0,11,20,204,45,0,4,73,32,18,2,1,4,2,89,16,44,69,21,1,3,0,0,8,4,0,2,0,0,0,3,6,1,20,60
"Otu0027",0,0,967,0,3,4,0,13,2,3,0,98,0,0,0,0,0,2,0,0,12,0,2,0,102,3,0,1,0,0,2,139,12,0,0,0,0,0,10,4,0,2,3,0,0,0,0,1,0,0,0,0,0,0
"Otu0028",0,0,27,0,3,0,1,0,1,0,8,3,0,0,1,0,0,0,43,0,155,1,2,138,245,315,0,3,2,5,1,35,142,1,1,0,1,1,12,4,63,40,113,0,2,2,6,0,1,0,1,4,0,0
"Otu0029",0,0,975,0,1,4,0,0,3,2,0,178,0,0,0,0,0,0,2,0,3,0,1,24,0,1,0,0,1,38,4,3,11,0,0,0,9,0,0,0,3,7,64,1,0,0,36,0,0,0,0,10,0,0
"Otu0030",0,0,1,16,3,51,3,1,119,364,269,84,4,2,0,0,1,77,0,1,2,7,88,20,7,2,0,0,7,4,1,0,3,0,148,1,0,0,0,0,6,3,25,11,1,0,6,3,0,0,2,8,10,2
"Otu0031",2,0,4,7,23,78,12,0,122,26,4,5,15,0,5,3,0,60,1,2,6,39,53,2,16,1,60,47,3,37,0,2,1,26,11,63,0,147,7,52,17,10,99,103,1,1,13,2,0,19,7,1,9,2
"Otu0032",0,0,8,0,0,1,0,55,5,139,0,1,0,0,0,0,1,2,0,0,4,1,1,16,1,20,0,0,0,0,3,78,398,124,0,1,2,0,3,5,273,13,26,0,0,0,0,0,0,0,1,1,5,1
"Otu0033",0,0,62,0,1,2,0,90,19,172,0,10,0,2,0,0,1,4,8,0,2,3,6,0,65,57,0,1,2,0,20,108,0,0,0,0,0,0,8,6,0,110,339,4,1,0,0,0,14,0,0,0,0,0
"Otu0034",0,0,20,0,1,1,0,35,0,0,0,6,0,0,1,0,0,3,17,2,16,7,2,15,183,247,0,1,0,2,1,128,116,28,0,0,0,2,19,12,38,49,123,0,0,2,4,0,0,0,0,3,0,0
"Otu0035",0,0,67,0,5,1,0,28,1,465,0,17,1,1,0,0,2,1,6,0,2,0,2,0,71,53,0,1,0,5,4,172,0,0,0,0,0,0,14,7,121,0,21,0,0,0,5,0,0,0,0,0,0,0
"Otu0036",2,0,7,0,60,45,0,0,15,138,5,7,6,39,1,4,0,0,2,1,3,8,8,1,0,1,30,1,4,14,1,0,1,15,40,31,187,175,1,10,5,2,46,31,1,3,3,0,0,1,2,0,1,0
"Otu0037",0,0,30,0,5,2,0,0,1,123,0,4,0,0,18,0,2,0,28,0,26,6,4,46,13,49,0,1,2,22,2,97,191,17,0,0,0,0,19,12,11,15,158,6,3,8,12,0,7,0,2,10,9,0
"Otu0038",0,0,27,0,5,0,1,66,1,106,7,7,0,0,8,0,0,1,7,3,39,2,4,31,14,69,0,1,19,0,4,19,24,0,19,0,66,4,11,12,57,25,224,10,1,0,7,0,4,0,6,2,8,24
"Otu0039",0,0,14,0,0,3,0,71,0,0,0,2,0,0,0,0,0,0,14,0,1,2,0,8,49,339,0,0,2,3,3,49,28,0,0,0,0,0,4,12,63,42,154,1,0,0,0,0,38,0,8,13,6,0
"Otu0040",0,0,1,46,3,21,5,0,63,455,62,35,0,2,0,0,0,31,0,6,1,4,23,0,4,6,0,0,8,5,1,7,6,0,0,0,0,2,2,0,0,5,36,0,1,0,13,5,1,4,6,9,23,2
"Otu0041",0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,22,0,0,0,0,1,0,25,0,0,0,0,0,24,26,355,63,307,1,0,0,0,0,0,0,0,1,1,0
"Otu0042",0,0,4,0,3,1,0,0,3,1,5,3,0,0,0,0,0,5,14,0,24,3,1,2,27,99,0,0,0,0,5,55,8,0,0,0,0,2,17,43,123,77,260,0,0,0,8,1,17,0,0,17,1,0
"Otu0043",0,0,178,0,1,5,3,1,0,4,0,38,2,1,0,0,0,0,19,0,11,4,1,1,24,194,0,0,1,7,0,33,34,1,0,1,0,1,7,6,9,11,32,8,1,1,45,0,5,0,0,6,1,0
"Otu0044",0,0,4,0,2,0,0,99,0,148,0,1,0,0,0,0,0,0,4,0,8,0,0,0,4,11,0,0,0,0,1,54,187,36,0,0,1,1,16,10,49,3,37,4,0,2,1,0,0,0,0,1,5,0
"Otu0045",0,0,0,0,1,0,0,0,113,0,0,0,0,0,0,0,0,92,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,1,361,0,0,0
"Otu0046",0,1,2,0,0,22,1,1,30,206,35,22,1,0,0,0,0,30,0,0,0,6,24,0,0,1,0,217,3,0,0,0,0,0,0,0,0,6,1,0,1,0,2,3,0,0,4,1,0,0,6,9,8,1
"Otu0047",0,1,5,0,0,14,0,16,0,59,0,3,0,0,0,0,0,0,11,0,6,9,1,0,0,249,0,1,1,0,0,107,1,0,0,0,0,0,4,7,22,24,69,6,2,0,0,0,5,0,6,4,0,0
"Otu0048",50,0,0,0,0,0,0,0,0,0,0,0,0,0,141,200,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0049",0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,377,0,24,0,0,0,3,15,0,1,0,0,0,11,73,13,5,0,0,1,5,3,28,0,0,0,0,0,2,0,0,0,0,17,0,0
"Otu0050",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,5,1,3,72,1,19,0,0,5,1,2,4,3,0,0,0,376,0,5,10,6,4,10,0,0,0,0,0,1,0,1,1,0,1
"Otu0051",67,0,0,0,60,16,2,0,39,0,0,7,5,65,7,11,3,30,0,0,6,3,31,5,6,0,11,0,1,7,0,2,1,13,8,2,28,43,0,3,0,3,12,2,0,2,3,1,0,6,3,4,26,2
"Otu0052",0,0,56,0,0,0,0,0,0,16,0,28,0,0,0,0,0,0,27,0,26,4,3,42,1,214,0,1,1,1,1,42,2,1,0,0,0,0,0,0,0,0,14,0,0,1,24,0,16,0,0,0,0,0
"Otu0053",0,0,0,0,0,0,0,0,220,1,0,0,0,0,0,0,0,157,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0054",0,0,1,0,2,0,0,4,5,117,0,1,0,0,0,0,0,0,27,0,20,0,2,73,3,40,0,1,0,6,2,71,20,0,26,0,0,0,4,6,8,11,46,0,0,0,11,0,2,0,0,1,2,4
"Otu0055",0,0,0,0,0,50,0,1,130,5,54,13,1,0,0,0,0,70,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,71,0,0,0,0,0,54,0,0,0,0,0,0,0
"Otu0056",0,0,0,0,0,0,0,0,236,1,0,0,0,0,0,0,0,142,0,0,0,3,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0057",0,0,38,0,0,0,0,3,0,0,1,6,0,1,0,0,0,0,16,0,58,1,0,48,77,88,0,2,0,1,0,21,58,0,0,1,0,1,3,2,9,9,38,0,0,1,2,0,0,0,0,0,0,0
"Otu0058",0,0,0,0,3,0,1,209,2,246,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,1,1
"Otu0059",0,0,24,0,0,0,0,3,11,403,0,4,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Otu0060",0,0,0,0,0,2,0,228,66,131,0,0,0,12,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"Otu0061",0,0,10,0,10,9,8,1,20,6,35,19,4,14,151,16,1,19,2,0,0,6,10,26,5,2,0,0,1,10,1,8,0,1,0,5,0,8,0,0,1,1,10,8,0,1,0,0,0,0,1,1,4,0
"Otu0062",0,0,46,0,0,6,0,8,0,2,0,4,0,0,0,0,0,0,3,0,8,0,2,23,35,18,0,0,3,4,1,13,0,0,0,0,0,0,13,5,72,30,81,1,1,0,17,0,10,0,4,10,0,0
"Otu0063",0,0,1,0,2,8,0,0,59,1,19,3,0,1,0,0,0,18,32,0,0,0,4,0,0,0,0,0,0,142,0,0,33,0,0,0,0,0,5,0,0,0,0,0,1,0,81,0,0,0,0,0,0,0
"Otu0064",0,0,9,0,0,0,0,11,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,50,36,0,0,0,0,9,12,217,1,9,0,0,0,10,0,0,2,1,0,0,0
"Otu0065",3,0,1,0,9,16,4,0,43,11,0,7,0,0,7,5,1,22,2,3,4,20,22,1,4,1,2,15,4,0,1,0,0,3,15,29,55,24,0,0,1,0,3,2,1,0,9,3,1,7,5,0,3,0
"Otu0066",1,0,9,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,6,0,1,25,218,0,1,0,9,0,18,6,0,0,0,0,4,0,4,5,3,4,1,0,0,0,0,27,3,2,0,1,0
"Otu0067",0,0,61,0,0,0,0,3,0,0,0,9,0,0,0,0,1,0,0,0,111,0,0,0,1,0,0,0,0,1,1,35,5,0,0,0,0,0,0,0,16,21,91,0,0,0,4,0,0,0,0,0,0,0
"Otu0068",0,0,4,0,2,8,0,3,2,1,0,7,1,1,0,0,7,2,11,0,1,2,4,4,9,202,1,0,0,1,0,18,3,0,0,0,0,0,14,8,3,3,15,0,0,0,12,1,3,0,0,1,2,0
"Otu0069",0,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,1,58,56,0,1,0,2,2,27,1,0,0,0,0,0,11,10,34,22,82,9,1,0,0,0,13,0,1,3,2,0
"Otu0070",0,0,0,0,2,20,2,0,4,5,42,10,0,1,4,2,0,2,17,0,2,4,3,3,14,4,1,0,0,0,0,4,6,3,37,0,0,57,1,1,0,1,2,79,0,0,0,0,0,0,1,0,0,0
"Otu0071",0,0,0,0,0,0,0,0,0,80,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,229,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0072",0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,128,0,2,0,7,14,2,4,0,0,0,5,0,26,64,22,4,1,0,1,21,9,1,1,0,0,0,2,2,0,0,0,0,0,0,0
"Otu0073",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,23,0,1,2,0,2,3,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu0074",0,0,3,0,1,7,1,1,62,3,23,5,0,0,0,0,0,47,0,0,0,0,17,0,2,0,0,1,0,0,1,64,0,0,0,0,0,0,11,11,0,21,37,0,1,0,4,0,0,0,0,0,0,0
"Otu0075",0,0,0,0,12,14,10,0,6,24,24,20,0,0,0,1,0,2,2,0,0,9,1,11,0,1,0,0,14,15,0,0,1,0,0,0,1,31,0,6,0,0,13,0,0,0,0,2,1,4,14,23,48,2
"Otu0076",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,136,0,0,0,0,0,12,10,14,51,73,0,0,0,2,0,0,0,0,1,0,0
"Otu0077",0,0,12,1,3,0,0,3,0,84,0,6,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,66,14,31,0,0,0,0,16,6,7,8,30,0,0,0,0,0,0,1,1,1,6,1
"Otu0078",0,0,39,0,1,1,0,5,1,57,0,12,0,0,0,0,0,1,1,0,1,0,2,1,5,0,0,0,0,4,0,29,68,12,0,0,0,1,11,14,15,1,10,0,0,0,0,0,0,0,0,0,1,0
"Otu0079",0,0,115,0,0,0,0,0,6,0,0,12,2,0,0,0,3,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
"Otu0080",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,22,54,3,0,0,0,0,0,5,0,0,0,0,1,0,3,2,13,32,119,0,0,0,0,0,17,0,0,0,0,0
"Otu0081",0,1,0,0,0,3,1,0,17,43,11,7,1,0,0,0,0,27,1,0,0,1,13,0,0,1,0,124,2,2,0,0,1,0,1,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0
"Otu0082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,24,36,43,123,11
"Otu0083",0,0,0,0,1,10,0,0,17,3,13,8,1,0,0,0,0,10,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,1,0,0
"Otu0084",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,1,0,0,0,12,87,0,0,0,0,0,1,3,8,6,19,0,0,0,8,0,84,0,0,13,12,0
"Otu0085",0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,26,0,6,2,0,3,1,208,0,0,0,1,0,4,3,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"Otu0086",0,0,0,0,124,2,0,0,1,2,0,0,17,1,39,5,2,0,0,1,19,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu0087",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,121,0,0,0,0,0,15,26,71,1,4,0,0,1,0,0,0,0,0,0,0,0
"Otu0088",0,0,3,0,1,5,6,0,0,10,12,5,0,0,0,0,0,0,14,0,0,10,1,4,3,8,0,0,14,1,1,3,11,0,37,0,0,0,4,1,1,2,32,3,1,1,5,2,0,1,12,10,17,8
"Otu0089",0,0,16,0,7,0,0,6,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,11,15,0,0,0,2,2,7,40,0,0,0,0,1,30,29,1,7,56,1,0,0,0,0,0,0,0,5,0,0
"Otu0090",0,1,0,0,18,4,1,0,7,0,0,7,9,37,2,0,0,4,0,0,1,2,3,0,1,0,0,0,0,0,0,2,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0091",0,0,13,0,1,1,0,5,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,27,48,9,0,1,1,4,0,28,2,0,0,0,0,0,7,2,21,16,35,1,0,0,9,0,1,0,0,1,0,0
"Otu0092",0,0,9,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,16,0,0,1,0,0,0,128,3,0,1,0,0,2,6,7,39,0,4,0,0,0,0,0,0,0,0,0,1,2
"Otu0093",1,0,0,0,37,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,31,0,7,0,0,1,33,94,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu0094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,175,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0095",0,0,1,0,0,0,0,50,3,96,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu0096",0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,12,0,0,0,0,0,14,21,120,6,31,0,0,0,0,0,0,0,0,0,0,0
"Otu0097",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,170,1,0,0,0,1,0,7,6,0,0,3,0,0,0,8,0,0,0,0,6,0,0
"Otu0098",0,0,0,1,5,0,0,0,1,93,0,0,0,0,1,0,0,0,0,0,0,7,0,12,1,0,0,69,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Otu0099",0,0,1,0,0,0,0,10,0,24,0,1,0,0,0,0,0,0,0,0,4,0,0,3,50,3,0,1,0,0,2,15,4,0,0,0,0,0,0,2,11,9,32,0,0,0,0,1,12,0,0,0,0,0
"Otu0100",0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,5,52,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Otu0101",0,0,130,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0102",0,0,0,0,110,9,0,0,5,2,20,9,0,0,0,0,0,3,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0
"Otu0103",0,0,21,0,1,4,0,0,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0,0,40,1,0,1,0,0,0,47,0,0,0,0,0,0,5,1,6,4,4,0,2,0,6,0,10,0,0,5,0,0
"Otu0104",0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,13,17,0,0,1,0,1,23,0,0,0,0,0,3,0,0,7,13,65,1,0,0,0,0,2,0,0,10,0,0
"Otu0105",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,1,0,10,1,53,0,1,0,1,0,16,4,0,0,0,0,0,4,5,7,7,16,0,0,0,9,0,10,0,0,4,0,0
"Otu0106",0,0,2,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,2,2,1,0,5,1,3,0,0,0,0,0,3,15,5,0,0,103,0,1,1,0,1,4,0,0,0,0,0,0,0,0,1,1,0
"Otu0107",0,0,14,0,1,1,0,0,2,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0108",0,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,10,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,9,22,0,0,1,4,0,1,0,0,0,0,0
"Otu0109",0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,42,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0110",0,0,0,0,0,14,0,0,39,0,8,2,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu0111",0,0,2,0,21,3,0,0,12,0,0,0,5,8,0,1,2,8,0,0,0,0,13,2,1,0,13,19,0,1,0,0,0,8,3,3,9,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
